ZZXP;AGR;ARC;AGRDESC;AGRDESCen;DESC;DESCen;PR1;Q1;PR2;Q2;PR3;Q3;PR4;Q4;PR5;Q5
7093;D9804;12-XXS-49.090900E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 49,0909MHz;SMD MEMS Osc 2,5x2,0 49,0909MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7094;D9804;12-XXS-49.152000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 49,152MHz;SMD MEMS Osc 2,5x2,0 49,152MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7095;D9804;12-XXS-49.824000E;SiT8008BI MEMs Oszillatoren 40-49,9MHz;SiT8008BI MEMs Oscillators 40-49,9MHz;SMD-MEMS Osz 2,5x2,0 49,824MHz;SMD MEMS Osc 2,5x2,0 49,824MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7096;D9800;12-XXS-5.000000E;SiT8008BI MEMs Oszillatoren 1-9,9MHz;SiT8008BI MEMs Oscillators 1-9,9MHz;SMD-MEMS Osz 2,5x2,0 5MHz;SMD MEMS Osc 2,5x2,0 5MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7097;D9800;12-XXS-5.019600E;SiT8008BI MEMs Oszillatoren 1-9,9MHz;SiT8008BI MEMs Oscillators 1-9,9MHz;SMD-MEMS Osz 2,5x2,0 5,0196MHz;SMD MEMS Osc 2,5x2,0 5,0196MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7098;D9800;12-XXS-5.099200E;SiT8008BI MEMs Oszillatoren 1-9,9MHz;SiT8008BI MEMs Oscillators 1-9,9MHz;SMD-MEMS Osz 2,5x2,0 5,0992MHz;SMD MEMS Osc 2,5x2,0 5,0992MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7099;D9800;12-XXS-5.312500E;SiT8008BI MEMs Oszillatoren 1-9,9MHz;SiT8008BI MEMs Oscillators 1-9,9MHz;SMD-MEMS Osz 2,5x2,0 5,3125MHz;SMD MEMS Osc 2,5x2,0 5,3125MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7100;D9800;12-XXS-5.350000E;SiT8008BI MEMs Oszillatoren 1-9,9MHz;SiT8008BI MEMs Oscillators 1-9,9MHz;SMD-MEMS Osz 2,5x2,0 5,35MHz;SMD MEMS Osc 2,5x2,0 5,35MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7101;D9800;12-XXS-5.500000E;SiT8008BI MEMs Oszillatoren 1-9,9MHz;SiT8008BI MEMs Oscillators 1-9,9MHz;SMD-MEMS Osz 2,5x2,0 5,5MHz;SMD MEMS Osc 2,5x2,0 5,5MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7102;D9800;12-XXS-5.529600E;SiT8008BI MEMs Oszillatoren 1-9,9MHz;SiT8008BI MEMs Oscillators 1-9,9MHz;SMD-MEMS Osz 2,5x2,0 5,5296MHz;SMD MEMS Osc 2,5x2,0 5,5296MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7103;D9800;12-XXS-5.644800E;SiT8008BI MEMs Oszillatoren 1-9,9MHz;SiT8008BI MEMs Oscillators 1-9,9MHz;SMD-MEMS Osz 2,5x2,0 5,6448MHz;SMD MEMS Osc 2,5x2,0 5,6448MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7104;D9805;12-XXS-50.003500E;SiT8008BI MEMs Oszillatoren 50-59,9MHz;SiT8008BI MEMs Oscillators 50-59,9MHz;SMD-MEMS Osz 2,5x2,0 50,0035MHz;SMD MEMS Osc 2,5x2,0 50,0035MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7105;D9805;12-XXS-50.136000E;SiT8008BI MEMs Oszillatoren 50-59,9MHz;SiT8008BI MEMs Oscillators 50-59,9MHz;SMD-MEMS Osz 2,5x2,0 50,136MHz;SMD MEMS Osc 2,5x2,0 50,136MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7106;D9805;12-XXS-50.203980E;SiT8008BI MEMs Oszillatoren 50-59,9MHz;SiT8008BI MEMs Oscillators 50-59,9MHz;SMD-MEMS Osz 2,5x2,0 50,20398MHz;SMD MEMS Osc 2,5x2,0 50,20398MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7107;D9805;12-XXS-50.211000E;SiT8008BI MEMs Oszillatoren 50-59,9MHz;SiT8008BI MEMs Oscillators 50-59,9MHz;SMD-MEMS Osz 2,5x2,0 50,211MHz;SMD MEMS Osc 2,5x2,0 50,211MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7108;D9805;12-XXS-51.892000E;SiT8008BI MEMs Oszillatoren 50-59,9MHz;SiT8008BI MEMs Oscillators 50-59,9MHz;SMD-MEMS Osz 2,5x2,0 51,892MHz;SMD MEMS Osc 2,5x2,0 51,892MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7109;D9805;12-XXS-52.000000E;SiT8008BI MEMs Oszillatoren 50-59,9MHz;SiT8008BI MEMs Oscillators 50-59,9MHz;SMD-MEMS Osz 2,5x2,0 52MHz;SMD MEMS Osc 2,5x2,0 52MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7110;D9805;12-XXS-52.428800E;SiT8008BI MEMs Oszillatoren 50-59,9MHz;SiT8008BI MEMs Oscillators 50-59,9MHz;SMD-MEMS Osz 2,5x2,0 52,4288MHz;SMD MEMS Osc 2,5x2,0 52,4288MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
7111;D9805;12-XXS-53.946054E;SiT8008BI MEMs Oszillatoren 50-59,9MHz;SiT8008BI MEMs Oscillators 50-59,9MHz;SMD-MEMS Osz 2,5x2,0 53,946054MHz;SMD MEMS Osc 2,5x2,0 53,946054MHz;1,26;5;1;25;0,87;100;0,83;250;0,79;500
